adaweta-ngombe-kapolo-uja;Ensemble leader;Kubu;Mbira, sansi;Vocals;Vocals, group
ai-ye!-nzara-yakabora;Dendera ;Ensemble leader;Jenje;Katero;Madobi;Mbira, madebe dza mondoro;Miningo karipi-karipi;Murumbi;Mutumba, conical;Rattle;Shauriro;Usindi;Vocals;Vocals, group
akasolo-mudhe;Ndingidi;Ntongoli;Vocals
aminoiye;Bell;Bell, bicycle;Bottle, struck;Mbira, chisanzhi (Kanyok, board);Mbira, likembe muchapata;Metal, struck;Mirliton;Sticks, struck;Vocals;Vocals, group
anyangwila-yanga-pano-kwawo;Bangwe;Ensemble leader;Rattle, raft;Vocals;Vocals, group
awakasi-mbuwayi;Cheche;Ensemble leader;Mbira, marimba;Vocals, group
aye-welele-wa-mhalaka;Bottle, struck;Guitar;Rattle;Vocals;Whistle
ba-tsetse-ka-likepe;Ensemble leader;Stamping, foot;Vocals;Vocals, group
bana-ba-tau-we-e!;Dinokwana;Ditlhaka ensemble;Ensemble leader;Meporo;Meporo e metelele;Metenyane;Vocals, group
bwalwa-bwa-chiwowo;Guitar;Mbira, kankowele;Mirliton;Vocals
chani-zangaria;Bangwe;Ensemble leader;Rattle, raft;Vocals;Vocals, group
chisisi-zano-rine-godo;Mbira, kalimba;Vocals
cilelensuma;Guitar;Mbira, kankowele;Mirliton;Vocals
drum-rhythms;Bell, ankle;Ensemble leader;Pere;Timbo;Vocals, group;Yodelling
e-mama-pilumuna-mbundayobe;Bell;Bell, bicycle;Bottle, struck;Mbira, chisanzhi (Kanyok, board);Mbira, likembe muchapata;Metal, struck;Mirliton;Sticks, struck;Vocals;Vocals, group
eee-joilome-mkamae!;Cheche;Ensemble leader;Mbira, marimba;Vocals, group
ekyevugo-kyokwema-kwa-omugaba-gasyonga-ii;Vocals
ekyokuhimbisa-batahibe;Vocals
eremye;Ndingidi;Ntongoli;Vocals
fedina;Ensemble leader;Kubu;Mbira, sansi;Vocals;Vocals, group
haea-helele!;Ensemble leader;Vocals, group
he!-marashia;Ensemble leader;Vocals;Vocals, group
he-ba-bua-kgethwa-ba-eme;Vocals, group
hela-koqo;Ensemble leader;Stamping, foot;Vocals;Vocals, group
hiho;Vocals, group
ho-ho-ho-ho-ba-bacha;Ensemble leader;Stamping, foot;Vocals;Vocals, group
ilanga-lacona;Guitar;Mbira, kankowele;Mirliton;Vocals
imiziyabola-kangwane;Vocals, group
iteyanye;Chorus;Mbira, mumamba;Vocals;Vocals, group
iuwale-o-iuwale;Guitar;Mbira, kankowele;Mirliton;Vocals
iyongilo-kalamitap-kokoek;Ensemble leader;Kipkurguroik;Vocals, group
jawalome-munda;Cheche;Ensemble leader;Mbira, marimba;Vocals, group
jeni-akahongira-enyaiya-embira;Ebinyege;Ensemble leader;Ntimbo;Vocals, group
kaburora-akaiba-muhogo;Ebinyege;Ensemble leader;Ntimbo;Vocals, group
kare-kare-maporisa;Mbira, kalimba;Vocals
kari-muchipfuwa-kanaziwa-ne-mwene-wako;Dendera ;Ensemble leader;Jenje;Katero;Madobi;Mbira, madebe dza mondoro;Miningo karipi-karipi;Murumbi;Mutumba, conical;Rattle;Shauriro;Usindi;Vocals;Vocals, group
kawala-milonga-kalila-kate;Chikorekore;Kalumbo;Mbira, deza;Mbira, kankowele;Vocals
kgaka-e-tswher-we-ke-mutloane-mamonope!;Vocals, group
kgatha-shoewanene;Rattle, ankle;Segankure;Stamping, foot;Vocals;Vocals, group
kgokong;Ensemble leader;Vocals, group
kgomo-tsa-ga-mme;Ensemble leader;Vocals, group
khokong;Vocals, group
khonou-e-ea-kga-thamo;Rattle, ankle;Segankure;Stamping, foot;Vocals;Vocals, group
klusi-malorato-tlaa-o-bone;Ensemble leader;Vocals, group
kongoi-lakok-a-kenya;Ensemble leader;Kipkurguroik;Vocals, group
kula-ma-kula-ka-cani;Imbungu;Izigubu;Vocals, group
lalela-zulu;Imbungu;Izigubu;Vocals, group
lekwa-retswang-teng-resentse;Vocals, group
lesang-nca-re-a-baka;Rattle, ankle;Segankure;Stamping, foot;Vocals;Vocals, group
lesole-lea-lema;Ensemble leader;Vocals;Vocals, group
letsema-la-a-phota;Ensemble leader;Vocals, group
ligari;Ensemble leader;Litungu;Lunengele;Metal, struck;Siilili;Vocals;Vocals, group
likhomo;Ensemble leader;Vocals, group
litsebe-nka-lengolo-y-ec-hae;Vocals, group
lumela-koete;Ensemble leader;Vocals;Vocals, group
mailo-nkaya;Chorus;Mbira, mumamba;Vocals;Vocals, group
maitumbe;Chorus;Mbira, mumamba;Vocals;Vocals, group
mammalo-sebolelo;Ensemble leader;Vocals;Vocals, group
mamosi-oa-theoloa-ke-mang;Ensemble leader;Vocals;Vocals, group
mampho-thiba-lisabole;Ensemble leader;Vocals, group
maolo-di-phepa;Ensemble leader;Vocals, group
masenga-wa-bena-nomba;Bottle, struck;Guitar;Rattle;Vocals;Whistle
meri-i;Ensemble leader;Kithembe;Malepe;Vocals, group
mionde-abana;Bottle, struck;Guitar;Rattle;Vocals;Whistle
mkhema-ye;Ensemble leader;Mandolin;Tambourine;Udi;Vocals, group
mme-o-leleka-baeng;Ensemble leader;Vocals, group
mokema;Ensemble leader;Vocals, group
monene-kobo;Bell, ankle;Ensemble leader;Rattle, raft;Vocals, group
monga-kobo-bohlajana;Ensemble leader;Stamping, foot;Vocals;Vocals, group
monnamogolo;Ensemble leader;Vocals, group
moroallo-oa-metsi-a-pula;Ensemble leader;Vocals;Vocals, group
muboriki-wa-manomano;Mbira, kalimba;Vocals
muganda;Ensemble leader;Horn;Kaamuri;Kayamba;Mabumbumbu;Mushondo;Vocals, group;Whistle
mulavu;Ndingidi;Ntongoli;Vocals
munendo-na-munendo;Chorus;Mbira, mumamba;Vocals;Vocals, group
murumi-wakaenda-ku-harari;Dendera ;Ensemble leader;Jenje;Katero;Madobi;Mbira, madebe dza mondoro;Miningo karipi-karipi;Murumbi;Mutumba, conical;Rattle;Shauriro;Usindi;Vocals;Vocals, group
mwayishe-mbungeya-mwema;Bell;Bell, bicycle;Bottle, struck;Mbira, chisanzhi (Kanyok, board);Mbira, likembe muchapata;Metal, struck;Mirliton;Sticks, struck;Vocals;Vocals, group
nalungunyo;Ensemble leader;Litungu;Lunengele;Metal, struck;Siilili;Vocals;Vocals, group
ndafwa-bama;Chikorekore;Kalumbo;Mbira, deza;Mbira, kankowele;Vocals
nemegye;Nenjenje;Vocals
nemejolia;Nenjenje;Vocals
nenda-mundani;Ensemble leader;Horn;Kaamuri;Kayamba;Mabumbumbu;Mushondo;Vocals, group;Whistle
nenemegyeti;Nenjenje;Vocals
nenjenje;Nenjenje;Vocals
ngune-nduli-wangola-ekuka;Ensemble leader;Kithembe;Malepe;Vocals, group
nguwenda-mela;Chikorekore;Kalumbo;Mbira, deza;Mbira, kankowele;Vocals
ngwenyama-usenta-lunya-kuze;Vocals, group
nina-namusonda-sanguweji;Guitar;Mbira, kankowele;Mirliton;Vocals
nthambi-wa-mutwana;Ensemble leader;Kithembe;Malepe;Vocals, group
nyakawo-miya-kataiga;Bell, ankle;Ensemble leader;Pere;Timbo;Vocals, group;Yodelling
nyamhoni-oweha;Ensemble leader;Kubu;Mbira, sansi;Vocals;Vocals, group
nyamulosa-chimbo-cha-gotosa;Dendera ;Ensemble leader;Jenje;Katero;Madobi;Mbira, madebe dza mondoro;Miningo karipi-karipi;Murumbi;Mutumba, conical;Rattle;Shauriro;Usindi;Vocals;Vocals, group
nzaireki-akatera-empihi;Ebinyege;Ensemble leader;Ntimbo;Vocals, group
nzenzere-linde-linde;Ensemble leader;Kubu;Mbira, sansi;Vocals;Vocals, group
okufa-kwa-kireri;Ndingidi;Ntongoli;Vocals
owinyi-tito-obeyobo-lobo;Bell, ankle;Ensemble leader;Pere;Timbo;Vocals, group;Yodelling
panali-ntowi-towi;Ensemble leader;Kubu;Mbira, sansi;Vocals;Vocals, group
pikifoti-chilwa;Bangwe;Ensemble leader;Rattle, raft;Vocals;Vocals, group
pina-eaa-badisa;Rattle, ankle;Segankure;Stamping, foot;Vocals;Vocals, group
polan;Ensemble leader;Kipkurguroik;Vocals, group
pududu-we-e!;Dinokwana;Ditlhaka ensemble;Ensemble leader;Meporo;Meporo e metelele;Metenyane;Vocals, group
pula;Ensemble leader;Vocals, group
qubula-inkosi;Imbungu;Izigubu;Vocals, group
re-tswa-kwa-tlhabane;Ensemble leader;Vocals, group
samukonga-lunga-lyambala-lya-meli;Bell;Bell, bicycle;Bottle, struck;Mbira, chisanzhi (Kanyok, board);Mbira, likembe muchapata;Metal, struck;Mirliton;Sticks, struck;Vocals;Vocals, group
sebodu-ke-nnenekwane-banna;Rattle, ankle;Segankure;Stamping, foot;Vocals;Vocals, group
seithataki;Ensemble leader;Stamping, foot;Vocals;Vocals, group
sesasale-baleni;Imbungu;Izigubu;Vocals, group
shangara-pa-chikaranga;Mbira, kalimba;Vocals
shiwifulunganye-ifunde;Chorus;Mbira, mumamba;Vocals;Vocals, group
sidedele-singene;Imbungu;Izigubu;Vocals, group
sigorira;Chikorekore;Kalumbo;Mbira, deza;Mbira, kankowele;Vocals
singa-mahhemu-hhemu;Imbungu;Izigubu;Vocals, group
thatholla;Ensemble leader;Vocals, group
tiye-tuluka-mwanawe;Ensemble leader;Kubu;Mbira, sansi;Vocals;Vocals, group
tondwe-kasobele-ku-bulaya;Chorus;Mbira, mumamba;Vocals;Vocals, group
twaliwananga-na-joni-meka;Bell;Bell, bicycle;Bottle, struck;Mbira, chisanzhi (Kanyok, board);Mbira, likembe muchapata;Metal, struck;Mirliton;Sticks, struck;Vocals;Vocals, group
ulumbundubundu-and-gomusanza-warira-pongo;Chikorekore;Kalumbo;Mbira, deza;Mbira, kankowele;Vocals
upanga-sorotani-wali;Bell, ankle;Ensemble leader;Rattle, raft;Vocals, group
uyakhula-wena;Vocals, group
wa-selenge-nina-kitabu-cha-mauridi;Ensemble leader;Mandolin;Tambourine;Udi;Vocals, group
wamurwe;Ensemble leader;Litungu;Lunengele;Metal, struck;Siilili;Vocals;Vocals, group
wena-wamakhosi-ezizwe;Vocals, group
yuno-mwazonga;Ensemble leader;Horn;Kaamuri;Kayamba;Mabumbumbu;Mushondo;Vocals, group;Whistle
zakanaka-musikana-e-yeye;Chikorekore;Kalumbo;Mbira, deza;Mbira, kankowele;Vocals
zawula-mutemba;Bell;Bell, bicycle;Bottle, struck;Mbira, chisanzhi (Kanyok, board);Mbira, likembe muchapata;Metal, struck;Mirliton;Sticks, struck;Vocals;Vocals, group
zumani-mwaya;Ensemble leader;Horn;Kaamuri;Kayamba;Mabumbumbu;Mushondo;Vocals, group;Whistle
